Country,Year,Status,Life_expectancy,Adult_mortality,Infant_mortality,Alcohol_consumption,Health_expenditure,HepB_immunization,Measles_cases,BMI,Under_5_deaths,Polio_immunization,Total_health_expenditure,Diphtheria_immunization,HIV_AIDS_deaths,GDP_per_capita,Population,Thinness_1_19_years,Thinness_5_9_years,Human_development_index,Schooling_years
Algeria,2006,Developing,73.4,132,20,0.36,270.2401962,8,944,49.8,23,95,3.36,95,0.1,3464.6179,33777915,6.1,6,0.686,12.3
Algeria,2005,Developing,72.9,136,19,0.5,2.548922758,83,2302,48.9,22,88,3.24,88,0.1,31.122378,33288437,6.1,6,0.68,12
Algeria,2001,Developing,71.4,145,20,0.23,147.9860714,,2686,45.3,24,89,3.84,89,0.1,1732.857979,31592153,6.4,6.3,0.644,10.9
Angola,2011,Developing,51,361,75,8.06,239.8913921,72,1449,21,115,73,3.38,71,2.5,4299.12889,24218565,8.9,8.8,0.495,9.4
Angola,2010,Developing,49.6,365,78,7.8,191.6537407,77,1190,2.4,121,81,3.39,77,2.5,3529.53482,23369131,9.1,9,0.488,9
Angola,2009,Developing,49.1,369,81,7.01,212.9229325,61,2807,19.8,127,63,4.37,6,2.5,3347.84485,22549547,9.3,9.2,0.48,8.5
Angola,2005,Developing,47.4,382,92,5.04,98.19145117,,258,17.7,148,39,4.1,38,2.6,1443.991929,19552542,1,9.9,0.426,6.8
Angola,2004,Developing,47.1,386,94,3.53,8.8667775,,29,17.2,152,4,4.71,4,2.5,141.86844,18865716,1.2,1.1,0.415,6.4
Angola,2002,Developing,46.5,391,96,2.82,24.037942,,11945,16.3,157,37,3.63,41,2.3,711.181716,17572649,1.5,1.5,0.401,5.5
Angola,2001,Developing,45.7,44,97,2.58,30.35993647,,9046,15.8,159,41,5.38,38,2.1,526.168743,16983266,1.7,1.7,0.391,5.1
Antigua and Barbuda,2015,Developing,76.4,13,0,,0,99,0,47.7,0,86,,99,0.2,13566.9541,90000,3.3,3.3,0.784,13.9
Antigua and Barbuda,2014,Developing,76.2,131,0,8.56,2422.999774,99,0,47,0,96,5.54,99,0.2,12888.29667,90000,3.3,3.3,0.782,13.9
Antigua and Barbuda,2013,Developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,90000,3.3,3.3,0.781,13.9
Antigua and Barbuda,2012,Developing,75.9,134,0,8.18,2156.229842,98,0,45.7,0,97,5.39,98,0.2,12565.44197,90000,3.3,3.3,0.778,13.8
Antigua and Barbuda,2011,Developing,75.7,136,0,7.84,1810.875316,99,0,45.1,0,99,5.65,99,0.1,11929.34991,90000,3.3,3.3,0.782,14.1
Antigua and Barbuda,2010,Developing,75.6,138,0,7.84,1983.956937,98,0,44.4,0,99,5.63,98,0.1,12126.87614,90000,3.3,3.3,0.783,14.1
Antigua and Barbuda,2009,Developing,75.4,14,0,7.82,149.3587355,98,0,43.8,0,98,4.86,99,0.1,1312.46692,90000,3.4,3.3,0.788,14.2
Antigua and Barbuda,2008,Developing,75.2,142,0,8.27,180.7762695,98,0,43.2,0,99,4.69,99,0.1,1473.31923,90000,3.4,3.3,0.786,14.4
Antigua and Barbuda,2007,Developing,75,144,0,8.64,257.9665308,97,0,42.6,0,98,4.27,99,0.1,14252.29452,90000,3.4,3.3,0.781,14.5
Antigua and Barbuda,2006,Developing,74.8,145,0,8.93,216.3146941,99,0,42,0,99,4.34,99,0.1,12724.39377,90000,3.4,3.4,0.773,14.7
Antigua and Barbuda,2005,Developing,74.6,147,0,8.15,1455.608186,99,0,41.4,0,98,4.41,99,0.1,11371.93895,90000,3.5,3.4,0,0
Antigua and Barbuda,2004,Developing,74.4,149,0,7.28,22.86295206,97,0,4.8,0,97,4.21,97,0.1,1352.8374,90000,3.5,3.4,0,0
Antigua and Barbuda,2003,Developing,74.2,151,0,7.16,1158.065259,99,0,4.1,0,99,4.53,99,0.1,9739.82556,90000,3.5,3.5,0,0
Antigua and Barbuda,2002,Developing,74,153,0,7.21,927.4075855,99,0,39.5,0,93,4.41,98,0.1,9386.716452,90000,3.6,3.5,0,0
Antigua and Barbuda,2001,Developing,73.8,154,0,7.51,163.7676978,96,0,38.9,0,99,4.48,97,0.1,9358.154162,90000,3.6,3.5,0,0
Antigua and Barbuda,2000,Developing,73.6,156,0,7.27,1127.74347,,0,38.2,0,96,4.13,95,0.1,9875.161736,90000,3.7,3.6,0,0
Argentina,2015,Developing,76.3,116,8,,0,94,0,62.8,9,93,,94,0.1,13467.1236,43417765,1,0.9,0.826,17.3
Argentina,2014,Developing,76.2,118,8,7.93,847.3717463,94,1,62.2,9,92,4.79,94,0.1,12245.25645,42981515,1,0.9,0.825,17.3
Argentina,2013,Developing,76,119,8,8.28,1001.796332,94,0,61.6,10,99,4.99,94,0.1,12976.63642,42539925,1,0.9,0.823,17.3
Argentina,2011,Developing,75.7,12,9,8.11,1504.329462,91,3,6.4,10,93,5.89,91,0.1,12726.9836,41656879,1,0.9,0.816,17.1
Argentina,2010,Developing,75.5,121,10,8.15,187.610955,94,17,59.8,11,95,6.55,94,0.1,1276.265,41223889,1,0.9,0.802,16.8
Argentina,2005,Developing,74.9,127,11,7.53,96.16653429,88,0,56.9,12,95,6.85,98,0.1,576.883829,39145488,1.1,1,0.78,16.3
Argentina,2004,Developing,74.7,13,11,7.63,719.3663797,81,0,56.3,12,91,6.84,98,0.1,4251.574348,38728696,1.1,1,0.775,16.3
Armenia,2012,Developing,74.4,121,1,3.89,274.1526986,95,0,52.6,1,96,4.48,95,0.1,3684.8481,2881922,2,2.1,0.732,12.7
Armenia,2011,Developing,73.9,128,1,4.09,260.9963826,95,0,51.9,1,96,3.71,95,0.1,3526.978143,2875581,2,2.1,0.729,12.7
Armenia,2010,Developing,73.5,132,1,4.23,224.3212014,94,2,51.2,1,96,4.56,94,0.1,3218.381655,2877311,2,2.1,0.72,12.3
Armenia,2009,Developing,73.3,137,1,3.96,201.1855461,93,0,5.7,1,94,4.55,93,0.1,2993.832531,2888584,2,2.1,0.725,11.9
Armenia,2005,Developing,73,137,1,4.25,20.21822828,91,2281,48.8,1,92,5.25,9,0.1,1643.758397,2981259,2,2.1,0.679,10.9
Australia,2015,Developed,82.8,59,1,,0,93,74,66.6,1,93,,93,0.1,56554.3876,23789338,0.6,0.6,0.937,20.4
Australia,2013,Developed,82.5,61,1,9.87,11734.85381,91,158,65.5,1,91,9.36,91,0.1,67792.3386,23117353,0.6,0.6,0.933,20.3
Australia,2012,Developed,82.3,61,1,10.03,11714.99858,91,199,65,1,92,9.36,92,0.1,67677.63477,22728254,0.6,0.6,0.93,20.1
Austria,2015,Developed,81.5,65,0,,0,93,309,57.6,0,93,,93,0.1,43665.947,8633169,1.9,2.1,0.892,15.9
Austria,2014,Developed,81.4,66,0,12.32,8350.193523,98,117,57.1,0,98,11.21,98,0.1,51322.63997,8541575,1.8,2,0.892,15.9
Austria,2013,Developed,81.1,68,0,11.82,90.58501176,95,0,56.6,0,95,11.14,95,0.1,554.71532,8479375,1.8,2,0.887,15.7
Austria,2012,Developed,88,7,0,12.26,7878.372355,92,36,56.1,0,92,11.17,92,0.1,48333.57273,8429991,1.8,2,0.884,15.7
Austria,2011,Developed,88,73,0,12.04,8272.306757,89,68,55.7,0,89,1.94,89,0.1,51126.74139,8391643,1.7,2,0.88,15.7
Austria,2009,Developed,82,77,0,11.3,8053.557638,83,49,54.7,0,83,11.19,83,0.1,47654.18721,8343323,1.7,1.9,0.87,15.3
Austria,2008,Developed,84,76,0,12,8329.731655,83,448,54.2,0,83,1.6,83,0.1,51386.37665,8321496,1.7,1.9,0.864,15.1
Austria,2007,Developed,81,8,0,12.5,7453.8644,85,20,53.7,0,85,1.4,85,0.1,46586.6525,8295487,1.7,1.9,0.86,15.2
Austria,2006,Developed,79.8,81,0,12.4,69.92899358,83,23,53.2,0,83,1.35,83,0.1,443.99361,8268641,1.7,1.9,0.854,15
Austria,2005,Developed,79.4,85,0,12.4,5992.588029,86,9,52.7,0,86,1.53,86,0.1,38242.4252,8227829,1.7,1.9,0.848,14.9
Austria,2004,Developed,79.3,86,0,12.1,5316.877456,83,15,52.2,0,83,1.56,83,0.1,36693.4262,8171966,1.7,1.9,0.841,14.7
Austria,2003,Developed,78.8,88,0,12.2,504.4308735,83,90,51.7,0,84,1.48,84,0.1,3212.9355,8121423,1.7,1.9,0.837,14.7
Azerbaijan,2015,Developing,72.7,118,5,,0,96,0,52.5,6,98,,96,0.1,55.31382,9649341,2.8,2.9,0.758,12.7
Azerbaijan,2012,Developing,71.9,123,5,0.01,285.6103912,88,0,49.7,6,92,5.37,89,0.1,7496.335728,9295784,2.8,2.8,0.742,11.8
Azerbaijan,2009,Developing,78,132,6,2.1,22.48638351,74,0,47.3,6,84,5.85,81,0.1,495.294791,8947243,2.8,2.9,0.728,11.6
Bahamas,2015,Developing,76.1,147,0,,0,95,0,64.5,0,95,,95,0.1,30000,400000,2.5,2.5,0.79,12.6
Bahamas,2014,Developing,75.4,16,0,9.45,0,96,0,63.8,0,96,7.74,96,0.1,30000,400000,2.5,2.5,0.789,12.6
Bahamas,2013,Developing,74.8,172,0,9.42,0,97,0,63.2,0,97,7.5,97,0.1,30000,400000,2.5,2.5,0.79,12.6
Bahamas,2012,Developing,74.9,167,0,9.5,0,96,0,62.6,0,99,7.43,98,0.2,30000,400000,2.5,2.5,0.789,12.6
Bahamas,2011,Developing,75,162,0,9.34,0,95,0,62,0,97,7.63,98,0.1,30000,400000,2.5,2.5,0.788,12.6
Bahamas,2010,Developing,75,161,0,9.19,0,98,0,61.3,0,97,7.44,99,0.2,30000,400000,2.5,2.5,0.788,12.6
Bahamas,2009,Developing,74.6,168,0,9.29,0,95,0,6.7,0,97,7.43,96,0.1,30000,400000,2.5,2.5,0.791,12.6
Bahamas,2008,Developing,74.5,167,0,10.15,0,9,0,6.1,0,93,7.3,93,0.1,30000,400000,2.5,2.5,0.791,12.6
Bahamas,2007,Developing,74.4,167,0,10.75,0,93,0,59.4,0,95,7.8,95,0.1,30000,400000,2.5,2.5,0.79,12.5
Bahamas,2006,Developing,74.2,171,0,11.07,0,96,0,58.7,0,94,6.93,95,0.1,30000,400000,2.5,2.5,0.788,12.4
Bahamas,2005,Developing,74.1,172,0,10.49,0,93,0,58.1,0,93,5.95,93,0.1,30000,400000,2.6,2.5,0.786,12.4
Bahamas,2004,Developing,73.8,174,0,10.1,0,93,0,57.4,0,92,6.2,93,0.1,30000,400000,2.6,2.5,0.784,12.3
Bahamas,2003,Developing,73.2,189,0,10.68,0,88,0,56.7,0,93,5.62,92,0.1,30000,400000,2.6,2.5,0.783,12.2
Bahamas,2002,Developing,73.1,19,0,10.85,0,89,0,56,0,93,5.26,94,0.1,30000,400000,2.6,2.6,0.781,12.1
Bahamas,2001,Developing,72.9,189,0,11.64,0,21,0,55.2,0,98,5.15,99,0.2,30000,400000,2.7,2.6,0.779,12.1
Bahamas,2000,Developing,72.6,192,0,12.15,0,,0,54.4,0,91,5.21,99,0.1,30000,400000,2.7,2.6,0,12
Bahrain,2015,Developing,76.9,69,0,,0,98,0,63.6,0,98,,98,0.1,22688.87824,1300000,6.2,6.1,0.823,14.5
Bahrain,2014,Developing,76.8,7,0,1.57,367.2556742,98,46,62.9,0,98,4.98,98,0.1,24983.3792,1300000,6.1,6,0.82,14.5
Bahrain,2013,Developing,76.7,7,0,1.65,3.968695982,99,0,62.2,0,99,4.69,99,0.1,251.18329,1300000,6.1,6,0.815,14.5
Bahrain,2012,Developing,76.5,71,0,1.7,2211.215778,99,0,61.5,0,99,4.37,99,0.1,23649.36661,1300000,6.1,6,0.812,14.5
Bahrain,2011,Developing,76.1,76,0,1.66,197.7734681,99,0,6.8,0,99,3.4,99,0.1,2281.1242,1300000,6.1,6,0.812,14.4
Bahrain,2010,Developing,76.1,73,0,1.93,266.7696122,99,0,6.1,0,99,3.64,99,0.1,2722.1389,1300000,6,5.9,0.81,14.4
Bahrain,2009,Developing,76,74,0,1.95,332.9347646,98,3,59.3,0,97,3.79,98,0.1,19356.67236,1300000,6,5.9,0.814,14.4
Bahrain,2008,Developing,75.8,76,0,2,231.5478912,97,2,58.5,0,97,3.17,97,0.1,2367.56535,1300000,6,5.9,0.815,14.4
Bahrain,2007,Developing,75.6,77,0,2,278.3602806,97,7,57.6,0,97,3.8,97,0.1,2977.1153,1300000,6.1,5.9,0.813,14.4
Bahrain,2006,Developing,75.5,79,0,2.1,170.7374027,98,3,56.8,0,98,3.8,98,0.1,1937.99549,1300000,6.1,5.9,0.81,14.2
Bahrain,2005,Developing,75.3,81,0,2.05,1553.468944,98,4,56.1,0,98,3.16,98,0.1,17959.17854,1300000,6.1,5.9,0.806,14
Bahrain,2004,Developing,75.2,83,0,2.16,1380.228095,98,11,55.6,0,98,3.37,98,0.1,15846.47641,1300000,6.1,5.9,0.803,13.9
Bahrain,2003,Developing,75,85,0,2.16,1214.558167,98,12,55.2,0,97,3.74,97,0.1,14221.99259,1300000,6.1,5.9,0.798,13.7
Bahrain,2002,Developing,74.9,87,0,1.99,106.4303336,98,8,55,0,98,3.89,98,0.1,1312.33457,1300000,6.2,5.9,0.796,13.5
Bahrain,2001,Developing,74.7,9,0,1.95,1150.418063,99,5,54.8,0,99,3.8,99,0.1,12868.211,1300000,6.2,6,0.794,13.3
Bahrain,2000,Developing,74.5,92,0,2.15,167.7270642,97,6,54.5,0,97,3.51,97,0.1,13636.34668,1300000,6.2,6,0.786,13.2
Bangladesh,2013,Developing,71,135,104,0.01,52.82986467,96,237,17,130,96,2.88,96,0.1,951.8894535,157571292,18.3,18.8,0.565,10
Bangladesh,2011,Developing,73,14,118,0.01,62.34988484,96,5625,15.8,150,96,3.16,96,0.1,835.789341,153911916,18.7,19.2,0.545,9.4
Bangladesh,2007,Developing,68.6,151,154,0.01,46.36536703,95,2924,13.5,201,96,2.8,94,0.1,541.651484,147139191,19.5,2.1,0.513,8.6
Bangladesh,2000,Developing,65.3,173,231,0.01,3.69633051,,5098,1.4,316,83,2.33,82,0.1,45.63371,131581243,2.9,21.5,0.459,7.3
Barbados,2015,Developing,75.5,98,0,,0,97,0,54.5,0,97,,97,0.1,15557.8381,275000,3.8,3.7,0.794,15.3
Barbados,2014,Developing,75.4,1,0,8.82,294.9056584,94,0,53.7,0,95,7.47,94,0.1,15359.66971,275000,3.8,3.7,0.793,15.3
Barbados,2013,Developing,75.2,11,0,8.74,263.0372838,91,0,53,0,91,7.57,91,0.1,15472.7814,275000,3.8,3.8,0.792,15.3
Barbados,2012,Developing,75.1,12,0,8.61,260.0043858,87,0,52.2,0,88,7.43,87,0.1,15384.8749,275000,3.8,3.8,0.785,15.3
Barbados,2011,Developing,74.9,14,0,8.51,173.9825629,91,0,51.4,0,91,6.67,91,0.1,15534.1574,275000,3.8,3.8,0.78,15.5
Barbados,2010,Developing,74.7,16,0,8.41,154.9630863,86,0,5.7,0,9,6.17,86,0.1,1595.91232,275000,3.8,3.8,0.781,15.8
Barbados,2009,Developing,74.6,19,0,8.46,327.1618128,93,0,49.9,0,93,6.21,93,0.1,16523.32388,275000,3.8,3.8,0.779,15.5
Barbados,2008,Developing,74.4,111,0,8.95,25.52277112,85,0,49.2,0,85,6.1,85,0.1,1657.3228,275000,3.9,3.9,0.775,15.3
Barbados,2007,Developing,74.2,113,0,8.47,1641.30981,93,0,48.4,0,93,5.64,93,0.1,16462.48556,275000,3.9,3.9,0.771,15
Barbados,2006,Developing,74.1,115,0,8.39,181.5000856,84,0,47.7,0,85,5.27,84,0.1,15646.5591,275000,4,3.9,0.766,14.8
Barbados,2005,Developing,73.9,117,0,8.01,1311.440423,92,0,46.9,0,91,5.38,92,0.1,14223.86576,275000,4,4,0.761,14.6
Barbados,2004,Developing,73.8,119,0,7.68,166.0083443,93,0,46.2,0,93,5.71,93,0.2,12868.8639,275000,4.1,4,0.757,14.4
Barbados,2003,Developing,73.7,121,0,7.65,13.5139917,91,0,45.4,0,9,5.82,89,0.4,1228.5447,275000,4.1,4.1,0.753,14.2
Barbados,2002,Developing,73.5,123,0,7.59,133.099491,66,0,44.6,0,86,5.76,87,0.8,11675.39395,275000,4.2,4.1,0.749,14
Barbados,2001,Developing,73.4,125,0,7.38,138.1664627,18,0,43.8,0,93,5.47,84,0.7,11513.87189,275000,4.2,4.2,0.75,14
Barbados,2000,Developing,73.3,127,0,7.43,1140.615754,,0,43,0,86,5.16,93,0.9,11568.1111,275000,4.3,4.2,0.741,14
Belarus,2015,Developing,72.3,196,0,,0,99,2,62.3,0,99,,99,0.1,5949.11677,9489616,1.9,2,0.798,15.6
Belarus,2014,Developing,72,199,0,13.94,1147.1114,97,64,61.7,0,97,5.69,97,0.1,8318.429294,9474511,1.9,2,0.796,15.7
Belarus,2013,Developing,71.7,23,0,14.66,1109.854619,98,16,61.1,1,98,6.7,98,0.1,7978.825443,9465997,2,2,0.796,15.7
Belarus,2012,Developing,71.9,194,0,16.35,91.70962117,97,10,6.5,1,98,5.1,98,0.1,694.243915,9464495,2,2.1,0.793,15.6
Belarus,2011,Developing,72,232,0,17.31,846.9113071,98,50,59.9,1,98,4.92,98,0.1,6519.71753,9473172,2,2.1,0.787,15.5
Belarus,2008,Developing,70,224,1,14.67,501.8056141,98,0,58.2,1,98,5.95,97,0.1,6376.183153,9527985,2.1,2.3,0.755,15.1
Belarus,2005,Developing,68.1,252,1,11.01,45.65007798,99,1,56.7,1,98,6.89,99,0.1,3126.71767,9663915,2.3,2.5,0.713,14.4
Belarus,2003,Developing,67.7,253,1,11.17,23.83578594,56,21,55.8,1,53,6.59,5,0.1,1819.525644,9796749,2.5,2.6,0.695,13.9
Belarus,2002,Developing,67.2,262,1,12.23,145.4233629,99,14,55.3,1,99,6.47,99,0.1,1479.383142,9865548,2.5,2.7,0.687,13.6
Belarus,2001,Developing,67.7,254,1,10.74,14.06141699,93,45,54.9,1,99,6.62,99,0.1,1244.373185,9928549,2.6,2.7,0.681,13.3
Belgium,2015,Developed,81.1,74,0,,0,98,47,63.7,1,99,,99,0.1,4356.875,11274196,1,1,0.895,16.6
Belgium,2013,Developed,87,77,0,11.77,702.359357,98,39,63,1,99,1.57,99,0.1,4651.38647,11182817,1,0.9,0.889,16.3
Belgium,2012,Developed,83,78,0,10.08,664.4738975,98,109,62.6,1,99,1.54,99,0.1,4474.5717,11128246,0.9,0.9,0.886,16.2
Belize,2015,Developing,71,175,0,,0,94,0,5.9,0,94,,94,0.2,4849.997495,359288,3.5,3.4,0.706,12.8
Belize,2014,Developing,70,177,0,6.58,670.0920883,95,0,5.1,0,95,5.79,95,0.2,4852.223666,351694,3.4,3.4,0.705,12.8
Belize,2013,Developing,69.8,18,0,6.56,629.2018591,95,0,49.3,0,95,5.79,95,0.2,4688.538443,344181,3.4,3.4,0.706,12.9
Belize,2011,Developing,69.4,188,0,6.64,605.6286892,95,0,47.8,0,95,5.61,95,0.5,4516.24675,329192,3.5,3.4,0.7,12.4
Belize,2009,Developing,69.5,184,0,6.85,549.8096097,97,0,46.3,0,98,5.81,97,0.3,4258.788611,313929,3.5,3.4,0.7,12.7
Belize,2005,Developing,69,191,0,6.25,365.799896,96,0,43.8,0,96,4.45,96,0.8,3933.332215,283277,3.6,3.5,0.695,12.8
Belize,2001,Developing,68.2,21,0,4.9,251.6586929,96,0,41.4,0,96,4.5,96,0.4,3419.275719,254984,3.7,3.7,0.677,11.8
Belize,2000,Developing,68.3,196,0,4.79,219.0239836,76,0,4.8,0,91,3.98,91,0.3,3364.423711,247315,3.8,3.7,0.668,11.7
Benin,2010,Developing,58.7,254,25,1.33,94.25737917,76,392,23,39,77,4.95,76,1.4,757.695974,9199259,7.8,7.6,0.451,9.5
Benin,2008,Developing,57.6,278,25,1.28,7.615430126,75,928,22,39,77,4.2,75,1.8,82.1513498,8696916,8.1,8,0.444,9.1
Benin,2007,Developing,57.1,283,25,1.12,7.49281752,82,341,21.5,39,82,4.55,82,2,76.535419,8454791,8.3,8.2,0.438,8.9
Benin,2006,Developing,56.8,284,25,1.19,75.91429496,74,176,21,39,76,4.75,74,2,625.8392,8216896,8.5,8.4,0.434,8.7
Benin,2005,Developing,56.5,285,25,1.13,7.106997355,7,210,2.5,39,73,4.73,7,2.1,61.799977,7982225,8.7,8.6,0.43,8.5
Benin,2002,Developing,55.6,283,25,1.23,40.48815233,15,1588,19.2,40,76,4.27,75,2.1,418.6985763,7295394,9.3,9.2,0.407,7.3
Benin,2000,Developing,55.4,279,25,1.34,37.38182018,,4244,18.4,40,78,4.34,78,2,374.1923942,6865951,9.7,9.6,0.389,6.4
Bhutan,2015,Developing,69.8,211,0,,0,99,11,24.5,0,98,,99,0.5,2613.645177,787386,15.4,16,0.604,12.5
Bhutan,2014,Developing,69.4,216,0,0.01,209.3921344,99,0,23.6,1,98,3.57,99,0.5,2522.7968,776448,15.7,16.2,0.596,12.5
Bhutan,2013,Developing,69.1,219,0,0.01,19.79057439,97,0,22.7,1,97,3.83,97,0.6,235.882889,764961,15.9,16.5,0.589,12.6
Bhutan,2012,Developing,68.7,223,0,0.01,188.7373664,97,1,21.9,1,97,3.7,97,0.6,2422.816,752967,16.1,16.7,0.581,12.3
Bhutan,2010,Developing,67.9,228,1,0.28,244.0391949,91,21,2.3,1,92,5.17,91,0.5,2178.921383,727641,16.6,17.3,0,11.4
Bhutan,2009,Developing,67.4,232,1,0.17,27.48907048,93,6,19.5,1,93,6.3,93,0.4,177.234497,714458,16.8,17.5,0,10.9
Bhutan,2007,Developing,66.5,238,1,0.16,283.806236,95,11,18,1,93,5.88,95,0.3,1741.142552,686958,17.3,18.1,0,10.1
Bhutan,2006,Developing,65.8,245,1,0.29,169.2023968,95,2,17.4,1,96,5.27,95,0.3,1335.45696,672228,17.5,18.3,0,9.6
Bhutan,2005,Developing,65,254,1,0.73,145.5965445,95,11,16.7,1,95,5.28,95,0.3,1247.61392,656639,17.8,18.6,0,9.2
Bhutan,2003,Developing,63.3,273,1,0.52,19.15664091,95,0,15.5,1,96,4.9,95,0.2,997.7417141,623434,18.3,19.1,0,8.4
Bhutan,2000,Developing,62,312,1,0.17,93.35872844,98,418,13.9,1,98,6.91,92,0.1,765.8632358,573416,19.2,19.9,0,7.3
Bolivia,2015,Developing,77,186,8,,0,99,0,52.6,10,99,,99,0.1,3000,11000000,1.2,1.1,0.671,13.8
Bolivia,2014,Developing,74,189,8,3.62,0,98,0,51.9,10,99,6.33,98,0.1,3000,11000000,1.2,1.1,0.666,13.8
Bolivia,2013,Developing,71,192,8,3.78,0,94,0,51.2,10,95,5.96,94,0.1,3000,11000000,1.2,1.1,0.661,13.8
Bolivia,2012,Developing,69.8,194,8,3.89,0,93,0,5.6,11,93,5.56,93,0.1,3000,11000000,1.2,1.1,0.655,13.8
Bolivia,2011,Developing,69.3,198,9,3.93,0,95,0,49.9,11,95,5.49,95,0.2,3000,11000000,1.2,1.1,0.649,13.8
Bolivia,2010,Developing,68.7,22,9,3.95,0,91,0,49.3,12,9,5.44,91,0.2,3000,11000000,1.2,1.1,0.643,13.8
Bolivia,2009,Developing,68,27,10,3.87,0,93,0,48.6,12,92,5.76,93,0.2,3000,11000000,1.2,1.1,0.636,13.8
Bolivia,2008,Developing,67.4,211,10,3.77,0,88,0,48,13,87,5,88,0.2,3000,11000000,1.3,1.1,0.632,14
Bolivia,2007,Developing,66.8,216,11,3.47,0,84,0,47.3,14,85,4.96,84,0.2,3000,11000000,1.3,1.2,0.626,14.1
Bolivia,2006,Developing,66.2,219,11,3.23,0,83,0,46.7,15,82,5.19,83,0.2,3000,11000000,1.3,1.2,0.625,14.3
Bolivia,2005,Developing,65.7,222,12,2.86,0,85,0,46,16,84,5.67,85,0.2,3000,11000000,1.3,1.2,0.622,14.4
Bolivia,2004,Developing,65.1,226,12,2.66,0,84,0,45.4,16,84,5.22,84,0.2,3000,11000000,1.4,1.2,0.62,14.6
Bolivia,2003,Developing,64.5,23,13,2.37,0,8,0,44.7,17,82,5.3,88,0.2,3000,11000000,1.4,1.3,0.617,14.4
Bolivia,2002,Developing,63.9,234,14,2.26,0,77,0,44,18,76,6.53,77,0.1,3000,11000000,1.4,1.3,0.61,14
Bolivia,2001,Developing,63.3,238,14,2.2,0,77,0,43.3,19,71,6.31,71,0.1,3000,11000000,1.5,1.4,0.607,13.7
Bolivia,2000,Developing,62.6,243,15,2.32,0,77,122,42.6,20,74,5.67,75,0.1,3000,11000000,1.5,1.4,0.6,13.3
Bosnia and Herzegovina,2015,Developing,77.4,88,0,,0,82,1677,55.8,0,74,,82,0.1,4574.9787,3535961,2.3,2.3,0.747,14.2
Bosnia and Herzegovina,2011,Developing,76.9,92,0,4.64,7.959131146,88,10,53.7,0,89,9.71,88,0.1,55.156834,3688865,2.6,2.5,0.711,13.4
Bosnia and Herzegovina,2009,Developing,76.1,97,0,4.75,645.021302,9,22,52.6,0,9,9.64,9,0.1,4697.89732,3746561,2.7,2.7,0.716,13.3
Bosnia and Herzegovina,2008,Developing,76,98,0,5.13,66.04635027,88,8,52.1,0,92,8.58,91,0.1,575.31664,3763599,2.8,2.7,0.71,13.1
Bosnia and Herzegovina,2006,Developing,75.7,1,0,4.82,38.25414065,9,17,51,0,91,8.28,87,0.1,344.321698,3779468,2.9,2.8,0.697,12.7
